MATRICULA   NOMBRE                           APPAT                            APMAT                            FECHA NAC    EDAD   SEXO      LUGAR NAC              CURP
303034      JUAN                             VALDEZ                           VEGA                             12-12-1993   29     HOMBRE    NUEVO LEON             VAVJ931212HNLLGN06
303037      FRANCISCO                        ROJAS                            PEREZ                            16-01-2009   14     HOMBRE    DISTRITO FEDERAL       ROPF090116HDFJRRA1
303038      MIGUEL                           YEPIZ                            RUIZ                             04-12-2002   20     HOMBRE    QUERETARO              YERM021204HQTPZGA6
303039      LOURDES                          SILVA                            NUNEZ                            28-08-1998   25     MUJER     PUEBLA                 SINL980828MPLLNR05
303040      JULIA                            SANCHEZ                          MORALES                          18-06-1994   29     MUJER     TAMAULIPAS             SAMJ940618MTSNRL07
303041      SOFIA                            RAMIREZ                          DIAZ                             22-01-2004   19     MUJER     OAXACA                 RADS040122MOCMZFA6
303042      MIGUEL                           REYES                            SANCHEZ                          11-02-1993   30     HOMBRE    OAXACA                 RESM930211HOCYNG06
303054      CARLOS                           SANCHEZ                          LARA                             12-08-2012   11     HOMBRE    CHIHUAHUA              SALC120812HCHNRRB6
303056      CLARA                            NUNEZ                            ORTEGA                           28-01-2017   6      MUJER     SINALOA                NUOC170128MSLNRLB1
303059      MIGUEL                           MORENO                           GUTIERREZ                        16-12-1982   40     HOMBRE    ZACATECAS              MOGM821216HZSRTG07
303062      LUISA                            REYES                            RAMIREZ                          16-04-1981   42     MUJER     ZACATECAS              RERL810416MZSYMS09
303063      MARIA                            MENDOZA                          TORRES                           04-11-1996   26     MUJER     TLAXCALA               METM961104MTLNRX07
303075      JULIA                            DIAZ                             MORENO                           31-05-2016   7      MUJER     SINALOA                DIMJ160531MSLZRLB3
303096      RAQUEL                           CRUZ                             ACOSTA                           12-09-1981   42     MUJER     SONORA                 CUAR810912MSRRCQ05
303097      RAFAEL                           SANCHEZ                          RODRIGUEZ                        19-04-1981   42     HOMBRE    DISTRITO FEDERAL       SARR810419HDFNDF00
304004      LOURDES                          RODRIGUEZ                        SOTO                             23-04-2017   6      MUJER     JALISCO                ROSL170423MJCDTRB7
304010      DAVID                            LOPEZ                            PEREZ                            21-04-2005   18     HOMBRE    BAJA CALIFORNIA SUR    LOPD050421HBSPRVA6
304015      FERNANDO                         JIMENEZ                          TORRES                           30-11-1998   24     HOMBRE    TABASCO                JITF981130HTCMRR06
304024      LUCIA                            DIAZ                             LOPEZ                            09-07-2009   14     MUJER     TABASCO                DILL090709MTCZPCA9
304030      ANDRES                           VEGA                             MORENO                           01-05-1999   24     HOMBRE    MICHOACAN              VEMA990501HMNGRN02
304031      MARTA                            GOMEZ                            VALDEZ                           24-12-2013   9      MUJER     CHIAPAS                GOVM131224MCSMLRB9
304036      MARIA                            VALDEZ                           MENDOZA                          03-12-2001   21     MUJER     YUCATAN                VAMM011203MYNLNXA0
304043      ROBERTO                          HERNANDEZ                        LARA                             09-02-1997   26     HOMBRE    TLAXCALA               HELR970209HTLRRB01
304045      CARLOS                           VEGA                             VARGAS                           18-03-2008   15     HOMBRE    TAMAULIPAS             VEVC080318HTSGRRA2
304048      VALENTINA                        ACOSTA                           HERNANDEZ                        14-10-1991   32     MUJER     COAHUILA               AOHV911014MCLCRL04
304050      JUAN                             ACOSTA                           VEGA                             07-10-1989   34     HOMBRE    HIDALGO                AOVJ891007HHGCGN06
304054      MONICA                           GUTIERREZ                        MORENO                           22-08-1989   34     MUJER     MICHOACAN              GUMM890822MMNTRN00
304056      LUISA                            SILVA                            YEPIZ                            11-04-2013   10     MUJER     TABASCO                SIYL130411MTCLPSB2
304058      LUCIA                            GUTIERREZ                        MENDOZA                          08-09-2007   16     MUJER     PUEBLA                 GUML070908MPLTNCA1
304061      ALBERTO                          FLORES                           VEGA                             18-06-1993   30     HOMBRE    TABASCO                FOVA930618HTCLGL05
304071      LOURDES                          FUENTES                          RUIZ                             23-08-2009   14     MUJER     MEXICO                 FURL090823MMCNZRA0
304080      LUCIA                            MORENO                           GUTIERREZ                        13-09-2015   8      MUJER     MEXICO                 MOGL150913MMCRTCB7
304087      JULIA                            MENDOZA                          ACOSTA                           13-04-2008   15     MUJER     TABASCO                MEAJ080413MTCNCLA9
304088      MIGUEL                           RODRIGUEZ                        ALVAREZ                          22-04-2018   5      HOMBRE    YUCATAN                ROAM180422HYNDLGB2
304092      MANUEL                           ORTEGA                           GUERRERO                         02-11-1993   29     HOMBRE    CHIHUAHUA              OEGM931102HCHRRN09
305002      CAROLINA                         VEGA                             GUTIERREZ                        23-04-2010   13     MUJER     DURANGO                VEGC100423MDGGTRB3
305006      CAROLINA                         GUTIERREZ                        TORRES                           12-01-1996   27     MUJER     ZACATECAS              GUTC960112MZSTRR04
305011      JOSE                             NAVARRO                          MARTINEZ                         09-03-1996   27     HOMBRE    COAHUILA               NAMJ960309HCLVRX08
305023      MIGUEL                           CRUZ                             NAVARRO                          25-02-1988   35     HOMBRE    QUERETARO              CUNM880225HQTRVG02
305024      MARIA                            GONZALEZ                         FLORES                           16-01-1994   29     MUJER     QUERETARO              GOFM940116MQTNLX05
305029      ISABEL                           MENDOZA                          CASTRO                           20-07-2011   12     MUJER     DISTRITO FEDERAL       MECI110720MDFNSSB3
305030      CAROLINA                         FLORES                           MORENO                           07-09-2017   6      MUJER     TABASCO                FOMC170907MTCLRRB1
305031      LUISA                            SOTO                             VARGAS                           20-06-2012   11     MUJER     DISTRITO FEDERAL       SOVL120620MDFTRSB7
305033      CLARA                            CHAVEZ                           FLORES                           22-08-1990   33     MUJER     ZACATECAS              CAFC900822MZSHLL07
305035      RAQUEL                           GUTIERREZ                        GUERRERO                         08-12-2010   12     MUJER     QUINTANA ROO           GUGR101208MQRTRQB0
305045      MARTA                            ALVAREZ                          JIMENEZ                          20-08-2007   16     MUJER     TABASCO                AAJM070820MTCLMRA6
305054      CARLOS                           GUTIERREZ                        GONZALEZ                         29-03-1997   26     HOMBRE    VERACRUZ               GUGC970329HVZTNR07
305058      MARIO                            HERNANDEZ                        SANCHEZ                          24-03-2014   9      HOMBRE    TABASCO                HESM140324HTCRNRB1
305063      ANTONIO                          MENDOZA                          MENDOZA                          25-07-1989   34     HOMBRE    JALISCO                MEMA890725HJCNNN00
305065      JUAN                             RAMIREZ                          YEPIZ                            29-03-2005   18     HOMBRE    QUINTANA ROO           RAYJ050329HQRMPNA8
305075      ALBERTO                          ORTEGA                           ROMERO                           12-08-2010   13     HOMBRE    CAMPECHE               OERA100812HCCRMLB6
305077      DANIEL                           CHAVEZ                           ZAPATA                           24-12-1988   34     HOMBRE    NAYARIT                CAZD881224HNTHPN06
305078      CLARA                            RAMIREZ                          VEGA                             13-09-1993   30     MUJER     OAXACA                 RAVC930913MOCMGL08
305081      LAURA                            NUNEZ                            VALDEZ                           03-02-1986   37     MUJER     MICHOACAN              NUVL860203MMNNLR03
305096      SOFIA                            VARGAS                           ACOSTA                           26-03-1991   32     MUJER     TLAXCALA               VAAS910326MTLRCF00
306002      LUIS                             GOMEZ                            SOTO                             18-10-2011   12     HOMBRE    EXTRANJERO             GOSL111018HNEMTSB4
306008      DANIEL                           MORENO                           LARA                             09-01-2016   7      HOMBRE    VERACRUZ               MOLD160109HVZRRNB6
306015      CLARA                            NAVARRO                          YEPIZ                            03-02-2017   6      MUJER     SONORA                 NAYC170203MSRVPLB6
306016      ANA                              VARGAS                           SANCHEZ                          11-03-1997   26     MUJER     NAYARIT                VASA970311MNTRNN05
306019      CAROLINA                         GUERRERO                         HERNANDEZ                        15-11-2018   4      MUJER     DISTRITO FEDERAL       GUHC181115MDFRRRB3
306026      LUISA                            GUERRERO                         SANCHEZ                          07-07-1991   32     MUJER     MORELOS                GUSL910707MMSRNS00
306055      LUIS                             SOTO                             MORENO                           08-10-1996   27     HOMBRE    CHIAPAS                SOML961008HCSTRS04
306059      MARIA                            HERNANDEZ                        SOTO                             26-11-1997   25     MUJER     AGUASCALIENTES         HESM971126MASRTX09
306062      ALBERTO                          ROMERO                           MENDOZA                          04-12-2001   21     HOMBRE    CHIHUAHUA              ROMA011204HCHMNLA5
306069      RAQUEL                           MARTINEZ                         ORTEGA                           05-04-1994   29     MUJER     AGUASCALIENTES         MAOR940405MASRRQ04
306073      LAURA                            MORENO                           FLORES                           10-08-2015   8      MUJER     DISTRITO FEDERAL       MOFL150810MDFRLRB3
306074      PEDRO                            DIAZ                             REYES                            21-03-1987   36     HOMBRE    YUCATAN                DIRP870321HYNZYD00
306078      DIANA                            NUNEZ                            TORRES                           11-12-1998   24     MUJER     NAYARIT                NUTD981211MNTNRN03
306079      CARMEN                           LARA                             ACOSTA                           11-12-2008   14     MUJER     GUANAJUATO             LAAC081211MGTRCRA1
306083      MARIO                            LARA                             SOTO                             23-12-1980   42     HOMBRE    JALISCO                LASM801223HJCRTR07
306088      FRANCISCO                        CASTRO                           ROMERO                           03-04-2005   18     HOMBRE    DISTRITO FEDERAL       CARF050403HDFSMRA0
306092      MARIO                            GONZALEZ                         ACOSTA                           08-03-1997   26     HOMBRE    SINALOA                GOAM970308HSLNCR07
307002      MONICA                           TORRES                           SOTO                             30-07-1994   29     MUJER     EXTRANJERO             TOSM940730MNERTN04
307007      ANA                              FLORES                           RAMIREZ                          02-01-1991   32     MUJER     BAJA CALIFORNIA        FORA910102MBCLMN07
307008      ALEJANDRO                        MENDOZA                          ACOSTA                           10-01-1989   34     HOMBRE    EXTRANJERO             MEAA890110HNENCL04
307011      JULIA                            SILVA                            CRUZ                             11-11-1987   35     MUJER     SINALOA                SICJ871111MSLLRL04
307013      ANTONIO                          DIAZ                             DIAZ                             02-03-2019   4      HOMBRE    CAMPECHE               DIDA190302HCCZZNB0
307015      CARLOS                           MARTINEZ                         SANCHEZ                          02-12-1989   33     HOMBRE    EXTRANJERO             MASC891202HNERNR03
307026      MONICA                           HERNANDEZ                        FUENTES                          21-12-2005   17     MUJER     CHIHUAHUA              HEFM051221MCHRNNA8
307029      FERNANDO                         REYES                            RUIZ                             01-07-1995   28     HOMBRE    COLIMA                 RERF950701HCMYZR04
307043      MONICA                           LARA                             NAVARRO                          12-08-1988   35     MUJER     TLAXCALA               LANM880812MTLRVN07
307050      JULIA                            YEPIZ                            NUNEZ                            12-07-2005   18     MUJER     BAJA CALIFORNIA        YENJ050712MBCPNLA0
307052      ROBERTO                          ZAPATA                           ACOSTA                           14-07-2017   6      HOMBRE    BAJA CALIFORNIA SUR    ZAAR170714HBSPCBB0
307055      DIANA                            RUIZ                             GOMEZ                            26-09-2014   9      MUJER     YUCATAN                RUGD140926MYNZMNB9
307063      FRANCISCO                        MARTINEZ                         ROJAS                            30-11-1994   28     HOMBRE    COAHUILA               MARF941130HCLRJR01
307068      ANTONIO                          ROMERO                           MENDOZA                          12-09-1997   26     HOMBRE    AGUASCALIENTES         ROMA970912HASMNN05
307075      RAFAEL                           CASTRO                           VARGAS                           10-08-1996   27     HOMBRE    TAMAULIPAS             CAVR960810HTSSRF01
307082      RAFAEL                           VARGAS                           LOPEZ                            29-08-2006   17     HOMBRE    NUEVO LEON             VALR060829HNLRPFA8
307085      ISABEL                           VEGA                             MARTINEZ                         14-06-2000   23     MUJER     QUERETARO              VEMI000614MQTGRSA5
307086      ROSA                             LARA                             RAMIREZ                          27-08-2019   4      MUJER     BAJA CALIFORNIA        LARR190827MBCRMSB2
307098      ANA                              CASTRO                           GUTIERREZ                        27-11-1987   35     MUJER     BAJA CALIFORNIA        CXGA871127MBCSTN06
308000      ANTONIO                          SOTO                             SOTO                             16-09-1991   32     HOMBRE    TLAXCALA               SOSA910916HTLTTN07
308001      VALENTINA                        MORENO                           TORRES                           22-04-1981   42     MUJER     EXTRANJERO             MOTV810422MNERRL02
308004      DIANA                            ZAPATA                           PEREZ                            27-06-2010   13     MUJER     CAMPECHE               ZAPD100627MCCPRNB1
308006      ROBERTO                          TORRES                           CRUZ                             23-03-2020   3      HOMBRE    SAN LUIS POTOSI        TOCR200323HSPRRBC6
308012      CARMEN                           ORTEGA                           MORALES                          14-06-1997   26     MUJER     NAYARIT                OEMC970614MNTRRR01
308020      ANDRES                           SOTO                             MORENO                           22-12-1982   40     HOMBRE    SAN LUIS POTOSI        SOMA821222HSPTRN06
308022      FERNANDO                         REYES                            FUENTES                          29-05-2006   17     HOMBRE    QUERETARO              REFF060529HQTYNRA6
308029      LOURDES                          MORALES                          VALDEZ                           07-04-1981   42     MUJER     HIDALGO                MOVL810407MHGRLR09
308034      ALBERTO                          FERNANDEZ                        ROMERO                           15-12-2002   20     HOMBRE    CHIAPAS                FERA021215HCSRMLA3
308039      LUIS                             MORALES                          PEREZ                            15-06-1991   32     HOMBRE    VERACRUZ               MOPL910615HVZRRS09
308040      ANA                              GUTIERREZ                        MORENO                           25-07-2001   22     MUJER     COLIMA                 GUMA010725MCMTRNA5
308041      JULIA                            SILVA                            CASTRO                           30-06-1982   41     MUJER     VERACRUZ               SICJ820630MVZLSL01
308048      ANA                              PEREZ                            HERNANDEZ                        01-12-1993   29     MUJER     NAYARIT                PEHA931201MNTRRN08
308054      LAURA                            MORENO                           FLORES                           12-03-1989   34     MUJER     YUCATAN                MOFL890312MYNRLR07
308056      PEDRO                            MARTINEZ                         MENDOZA                          30-11-1984   38     HOMBRE    COLIMA                 MAMP841130HCMRND06
308061      MARIA                            ORTEGA                           GUERRERO                         18-02-1994   29     MUJER     PUEBLA                 OEGM940218MPLRRX01
308063      MIGUEL                           DIAZ                             MORALES                          14-05-2004   19     HOMBRE    JALISCO                DIMM040514HJCZRGA0
308069      ISABEL                           FUENTES                          ROJAS                            16-02-2001   22     MUJER     CAMPECHE               FURI010216MCCNJSA1
308075      JOSE LUIS                        ROMERO                           JIMENEZ                          10-03-2014   9      HOMBRE    PUEBLA                 ROJL140310HPLMMSB9
308095      LUISA                            NUNEZ                            MENDOZA                          17-04-2019   4      MUJER     GUANAJUATO             NUML190417MGTNNSB6
308097      DANIEL                           ZAPATA                           SILVA                            15-03-2010   13     HOMBRE    VERACRUZ               ZASD100315HVZPLNB1
309002      JULIA                            CRUZ                             GUTIERREZ                        19-08-2007   16     MUJER     PUEBLA                 CUGJ070819MPLRTLA8
309003      LAURA                            SILVA                            MORALES                          19-06-1995   28     MUJER     TAMAULIPAS             SIML950619MTSLRR01
309010      ANDRES                           SOTO                             RUIZ                             09-01-2010   13     HOMBRE    QUERETARO              SORA100109HQTTZNB8
309012      MARTA                            FLORES                           GOMEZ                            30-10-2012   11     MUJER     SAN LUIS POTOSI        FOGM121030MSPLMRB8
309015      JULIA                            MORENO                           YEPIZ                            26-09-2018   5      MUJER     TLAXCALA               MOYJ180926MTLRPLB2
309020      MONICA                           CRUZ                             MORENO                           05-04-1990   33     MUJER     CHIHUAHUA              CUMM900405MCHRRN07
309022      ALEJANDRO                        TORRES                           TORRES                           18-05-2013   10     HOMBRE    SINALOA                TOTA130518HSLRRLB3
309023      RAFAEL                           MARTINEZ                         GONZALEZ                         28-11-2010   12     HOMBRE    DURANGO                MAGR101128HDGRNFB6
309024      CARMEN                           SANCHEZ                          CHAVEZ                           07-01-1988   35     MUJER     EXTRANJERO             SACC880107MNENHR08
309028      JOSE LUIS                        RUIZ                             YEPIZ                            24-07-1980   43     HOMBRE    VERACRUZ               RUYL800724HVZZPS01
309051      ROSA                             VALDEZ                           ALVAREZ                          28-11-1994   28     MUJER     BAJA CALIFORNIA        VAAR941128MBCLLS08
309067      DAVID                            CHAVEZ                           GOMEZ                            12-12-2015   7      HOMBRE    SINALOA                CAGD151212HSLHMVB6
309072      ISABEL                           TORRES                           NAVARRO                          14-12-2012   10     MUJER     YUCATAN                TONI121214MYNRVSB5
309073      ELENA                            LARA                             ALVAREZ                          13-06-1995   28     MUJER     YUCATAN                LAAE950613MYNRLL08
309076      JULIA                            ACOSTA                           SILVA                            30-10-2011   12     MUJER     MEXICO                 AOSJ111030MMCCLLB2
309079      CLARA                            LARA                             TORRES                           14-11-1984   38     MUJER     TAMAULIPAS             LATC841114MTSRRL03
309085      MIGUEL                           ROJAS                            ACOSTA                           06-02-1982   41     HOMBRE    TABASCO                ROAM820206HTCJCG01
309092      ISABEL                           SANCHEZ                          SANCHEZ                          14-11-2006   16     MUJER     SINALOA                SASI061114MSLNNSA2
309094      DANIEL                           GONZALEZ                         MENDOZA                          10-01-2004   19     HOMBRE    MORELOS                GOMD040110HMSNNNA7
309095      PEDRO                            PEREZ                            CHAVEZ                           29-08-2014   9      HOMBRE    GUANAJUATO             PECP140829HGTRHDB0
310002      ANDRES                           ORTEGA                           MARTINEZ                         16-12-2020   2      HOMBRE    NAYARIT                OEMA201216HNTRRNC7
310009      LUISA                            NUNEZ                            RUIZ                             02-08-1981   42     MUJER     VERACRUZ               NURL810802MVZNZS09
310011      ALEJANDRO                        VARGAS                           REYES                            26-06-1993   30     HOMBRE    ZACATECAS              VARA930626HZSRYL09
310014      PEDRO                            RAMIREZ                          RODRIGUEZ                        03-07-2004   19     HOMBRE    TLAXCALA               RARP040703HTLMDDA2
310018      MONICA                           LOPEZ                            RUIZ                             04-10-2001   22     MUJER     COLIMA                 LORM011004MCMPZNA3
310026      JOSE                             LOPEZ                            RAMIREZ                          01-04-2005   18     HOMBRE    AGUASCALIENTES         LORJ050401HASPMXA8
310030      MARTA                            MENDOZA                          FUENTES                          11-09-1993   30     MUJER     ZACATECAS              MEFM930911MZSNNR03
310034      SOFIA                            NAVARRO                          ACOSTA                           15-01-2016   7      MUJER     TABASCO                NAAS160115MTCVCFB3
310043      MONICA                           SOTO                             NAVARRO                          31-12-2001   21     MUJER     VERACRUZ               SONM011231MVZTVNA6
310045      JOSE                             RODRIGUEZ                        SILVA                            12-11-1989   33     HOMBRE    MICHOACAN              ROSJ891112HMNDLX02
310051      RAFAEL                           JIMENEZ                          MORALES                          09-10-1994   29     HOMBRE    COLIMA                 JIMR941009HCMMRF08
310055      JAVIER                           ACOSTA                           ZAPATA                           14-04-2014   9      HOMBRE    BAJA CALIFORNIA        AOZJ140414HBCCPVB1
310059      JAVIER                           LARA                             SILVA                            31-10-1985   38     HOMBRE    JALISCO                LASJ851031HJCRLV07
310064      ROSA                             ROJAS                            FLORES                           06-07-2004   19     MUJER     COAHUILA               ROFR040706MCLJLSA8
310065      ALEJANDRO                        NAVARRO                          YEPIZ                            14-03-1989   34     HOMBRE    BAJA CALIFORNIA        NAYA890314HBCVPL01
310070      MARIA                            LARA                             REYES                            03-12-2005   17     MUJER     TLAXCALA               LARM051203MTLRYXA3
310071      ALBERTO                          RAMIREZ                          LOPEZ                            31-12-2020   2      HOMBRE    QUERETARO              RALA201231HQTMPLC6
310072      MARIO                            MORENO                           NUNEZ                            02-08-2002   21     HOMBRE    QUINTANA ROO           MONM020802HQRRNRA9
310080      ALBERTO                          GOMEZ                            RAMIREZ                          25-07-2006   17     HOMBRE    TAMAULIPAS             GORA060725HTSMMLA3
311000      ROSA                             JIMENEZ                          VEGA                             05-11-1995   27     MUJER     PUEBLA                 JIVR951105MPLMGS07
311016      LOURDES                          FERNANDEZ                        MARTINEZ                         31-05-2006   17     MUJER     MORELOS                FEML060531MMSRRRA9
311019      ANTONIO                          REYES                            JIMENEZ                          03-07-1996   27     HOMBRE    CHIAPAS                REJA960703HCSYMN02
311020      JULIA                            ACOSTA                           VEGA                             30-09-1995   28     MUJER     AGUASCALIENTES         AOVJ950930MASCGL09
311028      PEDRO                            ACOSTA                           ROMERO                           18-12-2017   5      HOMBRE    TAMAULIPAS             AORP171218HTSCMDB4
